type,uuid,organization_id,project_id,provider,region,id,internal_id
billing-integration.hourly.test,d70d6153-323c-4a9a-8a07-26492ac996db,406fbbc9-eced-48d1-a19b-b0ed28dfeea2,463ff43e-7485-4dda-bd7b-1b6b7cfc460b,aws,us-west-2,test-hourly-resource-74,7f4a2033-c952-41ad-9666-617f7b558945
billing-integration.hourly.test,0b7af5de-61af-4832-96ec-bc3065696736,c42b4002-e960-417a-9dcf-a712a749d9f8,f1748af9-fab2-4cb0-873c-7e6b4f29a6ff,aws,us-west-2,32-test-hourly-59,883a0daa-acb7-426f-b193-ed42940b3690
billing-integration.hourly.test,91fdabe8-98ae-44ac-a8db-1501c984d19d,c42b4002-e960-417a-9dcf-a712a749d9f8,f1748af9-fab2-4cb0-873c-7e6b4f29a6ff,aws,us-west-2,31-test-hourly-36,5f2c87e9-b598-487e-9077-32f53fcda365
billing-integration.hourly.test,5043242c-e105-4500-ab9d-96b7004caa81,c42b4002-e960-417a-9dcf-a712a749d9f8,f1748af9-fab2-4cb0-873c-7e6b4f29a6ff,aws,us-west-2,30-test-hourly-42,773a7d1c-04ca-42ad-8c1e-1107a3fd86d6
billing-integration.hourly.test,82722818-b964-4b94-ae83-6a14296d3b65,c42b4002-e960-417a-9dcf-a712a749d9f8,f1748af9-fab2-4cb0-873c-7e6b4f29a6ff,aws,us-west-2,29-test-hourly-51,1cd719fc-fa5d-4310-858b-2807608d123e
billing-integration.hourly.test,cfed0917-aab1-4ef3-84bd-9457f6a9f64a,941029ce-5f61-4c4a-88e3-b440d6336224,2b54f036-b850-49c2-8ce9-ec38dfb13fb0,aws,us-west-2,test-hourly-resource-44,931bb057-d2aa-4a29-880f-133a4f99baf4
billing-integration.hourly.test,b92e89a3-3fb7-449b-9846-403865c16d98,941029ce-5f61-4c4a-88e3-b440d6336224,2b54f036-b850-49c2-8ce9-ec38dfb13fb0,aws,us-west-2,test-hourly-resource-80,f603afb8-19b9-4c4f-87ab-084934764b86
billing-integration.hourly.test,1926a48d-a764-475f-bf87-83934de727d1,941029ce-5f61-4c4a-88e3-b440d6336224,2b54f036-b850-49c2-8ce9-ec38dfb13fb0,aws,us-west-2,test-hourly-resource-68,c7890b5d-7ca1-4e60-b50e-98e8f277c8ad
billing-integration.hourly.test,c3406da7-d516-40c1-afb7-2ec17094c0c8,a112a9c2-c688-47d9-8cff-9ba093658e75,6830f1c3-3413-4ede-9e65-7cd559ba5648,aws,us-west-2,36-test-hourly-46,725fd1fc-c861-4993-8bbe-086ecc18db7f
billing-integration.hourly.test,61e597f5-d305-46d0-847f-3a0e41ad1032,a112a9c2-c688-47d9-8cff-9ba093658e75,6830f1c3-3413-4ede-9e65-7cd559ba5648,aws,us-west-2,35-test-hourly-93,f3d5ad9d-605f-4532-9042-b4c6c077368f
billing-integration.hourly.test,3d690edd-b7c8-4d2b-a3d4-f7eaa5893072,a112a9c2-c688-47d9-8cff-9ba093658e75,6830f1c3-3413-4ede-9e65-7cd559ba5648,aws,us-west-2,33-test-hourly-55,182094c8-eecd-477b-9cd3-b5992be1b1de
billing-integration.hourly.test,50de8847-e437-4ead-9a4b-7791c57b7f07,a112a9c2-c688-47d9-8cff-9ba093658e75,6830f1c3-3413-4ede-9e65-7cd559ba5648,aws,us-west-2,37-test-hourly-24,461172e3-4d6b-4d2b-8180-5cc6fb4caf80
billing-integration.monthly-cumulative.test,177c4d7b-0e7a-4fc5-a861-bca30b4e34a4,b355bfe7-8e8d-4ea4-86ad-31d33b1d35f1,0bff8b02-390f-4fd6-9d48-b20bbb5f08b7,aws,us-west-2,3-test-monthly-cmv-94,e34c849a-4c6c-43b2-9db3-e36d946f589c
billing-integration.hourly.test,b822929d-3f70-4457-a7ea-34d70c10863f,803a5362-93f2-4165-9d21-8b772cc369fe,1ea00ddb-7327-4bd8-bd57-f2a580bcc2fc,aws,us-west-2,15-test-hourly-31,28aac6e4-56c6-4d48-8efb-73547d769be7
billing-integration.hourly.test,dd413064-3ac0-4a79-9f14-06827447c5c8,803a5362-93f2-4165-9d21-8b772cc369fe,1ea00ddb-7327-4bd8-bd57-f2a580bcc2fc,aws,us-west-2,9-test-hourly-81,e6ef4639-a024-42e0-a97d-a77da12444c6
billing-integration.hourly.test,16c5a7d5-7cee-4b4c-875e-473ca8f385c4,803a5362-93f2-4165-9d21-8b772cc369fe,1ea00ddb-7327-4bd8-bd57-f2a580bcc2fc,aws,us-west-2,13-test-hourly-61,38eddba2-e1e0-4326-8426-79d014d3d31d
billing-integration.hourly.test,075b1ecf-dd6d-48e0-b8a8-9543edd6d208,803a5362-93f2-4165-9d21-8b772cc369fe,1ea00ddb-7327-4bd8-bd57-f2a580bcc2fc,aws,us-west-2,11-test-hourly-63,b35f5595-1f05-427d-b3a2-c2089059a891
billing-integration.hourly.test,7ffabe04-2667-4304-b624-38424081334c,4cdc9d01-3ee1-4ea3-a840-a961e4edbb23,7224fcef-437f-4c56-aa99-a993095cc95b,aws,us-west-2,38-test-hourly-60,1c301904-71ea-4eeb-89f8-c08adbb3fde7
billing-integration.hourly.test,8c7aede8-3a9e-430e-8126-4506daf653af,4cdc9d01-3ee1-4ea3-a840-a961e4edbb23,7224fcef-437f-4c56-aa99-a993095cc95b,aws,us-west-2,39-test-hourly-45,c1530889-803d-4218-ab2c-1b5eba07464a
billing-integration.hourly.test,6b68c34d-ca24-49ee-900d-fab1441477b7,4cdc9d01-3ee1-4ea3-a840-a961e4edbb23,7224fcef-437f-4c56-aa99-a993095cc95b,aws,us-west-2,36-test-hourly-15,6076e79a-0aa9-4c9b-a36f-c9df06e5776c
billing-integration.hourly.test,f3ec63bb-1132-4011-8afe-349511c866a8,4cdc9d01-3ee1-4ea3-a840-a961e4edbb23,7224fcef-437f-4c56-aa99-a993095cc95b,aws,us-west-2,37-test-hourly-79,6776b829-07b3-49d6-98fb-4bdfdfef5d40
billing-integration.hourly.test,082e0329-ef06-4a8e-a236-e20d7ba389b5,853edd08-e3a3-43f5-a8da-c4d148f8f6c1,e379b8f1-158c-430d-942a-49a2a2dafee0,aws,us-west-2,53-test-hourly-8,ef7ec31d-d0d1-4fa2-a793-239e93a252cd
